Country,Province_State,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,Last_Update
Afghanistan,Afghanistan,184819,7738,474.7672139431783,4.186798976295727,2022-07-26 04:20:58
Albania,Albania,293917,3517,10213.253179512129,1.1965963180081451,2022-07-21 23:21:03
Algeria,Algeria,266916,6876,608.6879164995004,2.5760913545834643,2022-07-26 04:20:58
Andorra,Andorra,45326,153,58663.04277486573,0.3375546044213035,2022-07-26 04:20:58
Angola,Angola,102301,1912,311.2644246678692,1.8689944379820334,2022-07-26 04:20:58
Antarctica,Antarctica,11,0,,0.0,2022-07-26 04:20:58
Antigua and Barbuda,Antigua and Barbuda,8736,144,8920.83980066988,1.6483516483516483,2022-07-26 04:20:58
Argentina,Argentina,9507562,129278,21036.39461713425,1.3597387006258808,2022-07-26 04:20:58
Armenia,Armenia,425365,8633,14354.755648727032,2.0295510914156076,2022-07-26 04:20:58
Australia,Australian Capital Territory,187087,89,43701.7052090633,0.04757145071544255,2022-07-26 04:20:58
Australia,New South Wales,3116121,4031,38385.32889874353,0.1293595466928274,2022-07-26 04:20:58
Australia,Northern Territory,89164,54,36304.56026058632,0.06056255888026558,2022-07-26 04:20:58
Australia,Queensland,1463230,1491,28603.851040953963,0.10189785611284624,2022-07-26 04:20:58
Australia,South Australia,691671,632,39377.796754910334,0.0913729215190459,2022-07-26 04:20:58
Australia,Tasmania,226211,129,42242.95051353875,0.0570264045515028,2022-07-26 04:20:58
Australia,Victoria,2369675,4401,35742.24347275223,0.18572167069323853,2022-07-26 04:20:58
Australia,Western Australia,1042577,473,39632.66935299931,0.04536835169009099,2022-07-26 04:20:58
Austria,Austria,4734005,20254,52562.67765144786,0.4278406972531715,2022-07-26 04:20:58
Azerbaijan,Azerbaijan,796576,9735,7856.418298332951,1.2221056120194431,2022-07-26 04:20:58
Bahamas,Bahamas,36604,822,9308.121083896169,2.2456562124357995,2022-07-26 04:20:58
Bahrain,Bahrain,656410,1506,38576.43147586688,0.22942977712100668,2022-07-26 04:20:58
Bangladesh,Bangladesh,2002323,29271,1215.817901266896,1.4618520588336648,2022-07-26 04:20:58
Barbados,Barbados,90080,484,31346.23883412035,0.5373001776198935,2022-07-26 04:20:58
Belarus,Belarus,994037,7118,10519.665910386577,0.7160699249625517,2022-07-26 04:20:58
Belgium,Antwerp,706628,0,38031.93350219,0.0,2022-07-26 04:20:58
Belgium,Brussels,478619,0,39603.009245851616,0.0,2022-07-26 04:20:58
Belgium,East Flanders,593691,0,39185.86937581515,0.0,2022-07-26 04:20:58
Belgium,Flemish Brabant,429548,0,37476.65059873056,0.0,2022-07-26 04:20:58
Belgium,Hainaut,483894,0,35997.56293700311,0.0,2022-07-26 04:20:58
Belgium,Liege,393676,0,35562.67795973232,0.0,2022-07-26 04:20:58
Belgium,Limburg,323948,0,37062.9530643626,0.0,2022-07-26 04:20:58
Belgium,Luxembourg,113489,0,39871.34535796345,0.0,2022-07-26 04:20:58
Belgium,Namur,187829,0,37997.06670712588,0.0,2022-07-26 04:20:58
Belgium,Unknown,59718,32179,,53.88492581801132,2022-07-26 04:20:58
Belgium,Walloon Brabant,161599,0,40039.49464691439,0.0,2022-07-26 04:20:58
Belgium,West Flanders,465522,0,38929.88436154662,0.0,2022-07-26 04:20:58
Belize,Belize,66767,680,16791.618148940826,1.0184672068536853,2022-07-26 04:20:58
Benin,Benin,27271,163,224.94889549770613,0.5977045212863481,2022-07-26 04:20:58
Bhutan,Bhutan,60368,21,7823.621198218794,0.034786641929499075,2022-07-26 04:20:58
Bolivia,Bolivia,1007919,22025,8634.596898542786,2.1851954373317697,2022-07-26 04:20:58
Bosnia and Herzegovina,Bosnia and Herzegovina,383415,15839,11686.577877752936,4.131032953848963,2022-07-26 04:20:58
Botswana,Botswana,325181,2763,13827.927496943605,0.8496806393977507,2022-07-26 04:20:58
Brazil,Acre,140424,2010,15922.26184469377,1.4313792514100154,2022-07-26 04:20:58
Brazil,Alagoas,316939,7054,9496.706525553003,2.225664875575426,2022-07-26 04:20:58
Brazil,Amapa,174912,2149,20681.753418049,1.2286178192462496,2022-07-26 04:20:58
Brazil,Amazonas,602283,14212,14531.76267801188,2.3596880536226323,2022-07-26 04:20:58
Brazil,Bahia,1649633,30282,11091.41330932214,1.8356810272345425,2022-07-26 04:20:58
Brazil,Ceara,1352597,27374,14811.491973677845,2.0238104919647166,2022-07-26 04:20:58
